#objID,g,r,i,u
1237645941298168616,21.86582,20.59228,19.88672,22.16557
1237645941298168611,23.07467,21.05685,20.41595,22.92034
1237645941298168610,23.26187,21.97962,21.63894,26.01655
1237645941298168609,22.33662,20.94192,20.35166,24.26789
1237645941298168607,23.21881,21.96501,21.54324,25.90798
1237645941298168606,22.64635,21.58565,20.777,25.15809
1237645941298168596,22.89511,21.52373,20.92808,22.78484
1237645941298168594,22.84126,21.43147,20.51781,23.7706
1237645941298168587,23.40202,21.67879,20.99154,23.31186
1237645941298168586,22.1878,20.53677,19.66735,25.50842
1237645941298168583,23.42597,21.93054,21.49879,23.1942
1237645941298168581,23.22873,21.24387,20.68996,24.17389
1237645941298168578,23.50084,21.92744,21.35856,23.70505
1237645941298168577,22.75571,21.79134,21.3026,24.1677
1237645941298168576,22.49811,20.66366,19.93681,24.20611
1237645941298168575,23.10641,20.95644,20.47565,24.87069
1237645941298168567,23.16951,21.81421,21.47578,22.82147
1237645941298168562,23.47654,21.84669,21.62895,25.10048
1237645941298168558,22.55667,21.80317,21.45031,23.40853
1237645941298168557,23.19619,21.97925,21.92661,23.35426
1237645941298168553,23.64764,21.93092,21.01533,24.05095
1237645941298168550,24.47318,21.72287,22.56343,24.46528
1237645941298168545,23.5205,21.82789,21.2466,24.55136
1237645941298168538,23.10353,21.67561,20.66628,23.1676
1237645941298168535,23.24062,21.7743,21.07346,25.07873
1237645941298168531,24.86864,21.67477,20.95873,24.17331
1237645941298168527,22.68113,21.09667,20.30953,25.97186
1237645941298168524,22.94377,21.55346,20.89517,23.29614
1237645941298168522,23.43304,21.71113,20.99356,23.55046
1237645941298168520,23.11302,21.99708,21.36317,23.7548
1237645941298168519,22.82125,21.28017,20.94357,24.93238
1237645941298168511,23.63232,21.66562,21.26645,24.37796
1237645941298168510,23.06851,21.97594,21.26984,24.99402
1237645941298168505,23.45987,21.51369,22.14327,24.59164
1237645941298168502,22.99217,21.99878,21.54704,23.05174
1237645941298168501,23.43825,21.62407,21.0758,24.37067
1237645941298168499,22.83596,21.38894,21.44284,22.07241
1237645941298168498,23.41617,21.43742,21.57281,22.77384
1237645941298168490,22.85539,21.38925,21.93456,23.15809
1237645941298168489,22.19008,21.0789,20.61005,26.30461
1237645941298168484,22.46178,21.48067,21.41397,23.01647
